Dias,Muertes
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,2
16,2
17,2
18,4
19,5
20,6
21,8
22,12
23,16
24,20
25,28
26,29
27,37
28,50
29,60
30,79
31,94
32,125
33,141
34,174
35,194
36,233
37,273
38,296
39,332
40,406
41,449
42,486
43,546
44,650
45,686
46,712
47,857
48,970
49,1069
50,1221
51,1305
52,1351
53,1434
54,1569
55,1732
56,1859
57,1972
58,2061
59,2154
60,2271
61,2507
62,2704
63,2961
64,3160
65,3353
66,3465
67,3573
68,3926
69,4220
70,4477
71,4767
72,5045
73,5177
74,5332
75,5666
76,6090
77,6510
78,6989
79,7179
80,7394
81,7633
82,8134
83,8597
84,9044
85,9415
86,9779
87,9930
88,10167
89,10637
90,11729
91,12545
92,13170
93,13511
94,13699
95,14053
96,14649
97,15357
98,15944
99,16448
100,16872
101,17141
102,17580
103,18310
104,19080
105,19747
106,20394
107,20781
108,21825
109,22584
